"scenario","model","variable","row","col","lower","upper","mean","sd","q05","q50","q95","mcse_mean"
"heterogeneous_box","global_ray","Omega[5,4]",5,4,0.166158223851264,0.213870050190797,0.189546404856667,0.0137617885004404,0.168476629,0.18937437,0.2114756915,0.000230513635054049
"wide_heterogeneous_box","global_ray","Omega[2,1]",2,1,-0.438936519307591,0.393717274664394,-0.0117050770984636,0.230996419684499,-0.38137105,-0.0116815365,0.3482517905,0.00366609393940337
"wide_heterogeneous_box","global_ray","Omega[3,1]",3,1,-0.400926331451966,0.515889364552812,0.0368201293547945,0.24684214152209,-0.3471266545,0.0289562975,0.4476098945,0.00402853629463526
"wide_heterogeneous_box","global_ray","Omega[3,2]",3,2,-0.246312555709624,0.636168282998956,0.147934110680089,0.238636690804547,-0.2049318785,0.131428895,0.5487070955,0.00385363870630068
"wide_heterogeneous_box","global_ray","Omega[4,1]",4,1,-0.464021857308218,0.534745195003233,0.0304742868651846,0.265701537243035,-0.3943696965,0.029291149,0.4654109315,0.004499324227656
"wide_heterogeneous_box","global_ray","Omega[4,2]",4,2,-0.538148768011694,0.153245211440856,-0.146972830126963,0.1906489244294,-0.479195264,-0.130036725,0.1287254215,0.00304926724464857
"wide_heterogeneous_box","global_ray","Omega[4,3]",4,3,-0.132004160149755,0.50320178904125,0.161645641897544,0.177571201086432,-0.1053106985,0.151652115,0.458563941,0.00282972991906429
"wide_heterogeneous_box","global_ray","Omega[5,1]",5,1,-0.530083040397003,0.641680399172619,0.0345105660156967,0.302537935584039,-0.447647775,0.021730837,0.533540816,0.00526737741745665
"wide_heterogeneous_box","global_ray","Omega[5,2]",5,2,-0.0657380932099026,0.561714481926073,0.213998184569276,0.174284096020227,-0.0407254917,0.199864695,0.5110260215,0.00292831737170463
"wide_heterogeneous_box","global_ray","Omega[5,3]",5,3,-0.0706844517132641,0.627137383249551,0.236450695397833,0.188047389333345,-0.0401335124,0.21999258,0.565062403,0.00316317099665049
"wide_heterogeneous_box","global_ray","Omega[5,4]",5,4,-0.411567090036538,0.842544387416724,0.0892489927279463,0.295123742799649,-0.348403209,0.063028146,0.6106939155,0.00500912062095743
