"pattern","model","propagation_passes","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","max_abs_zero_mean","failed","error"
3,"pinkney",1,13,18,10861.3420543089,205.368844031783,1.60767292976379,7.38057932095875e-20,FALSE,NA
3,"ldl2",0,13,31,10549.879751414,197.337867817924,0.673684120178223,2.0816364353926e-19,FALSE,NA
3,"ldl2",1,13,20,9876.11851485154,190.338977293957,1.81766796112061,2.63660948652154e-19,FALSE,NA
3,"ldl3",0,13,49,9925.50479780841,189.617056028435,0.87917685508728,7.21388816672888e-20,FALSE,NA
3,"ldl3",1,13,26,10888.295901095,211.406801434744,1.82099008560181,1.72887996828103e-19,FALSE,NA
3,"rowscale",0,13,53,10735.8773588889,207.264322153151,0.676306962966919,4.73517885370722e-20,FALSE,NA
3,"rowscale",1,13,26,10333.8288201642,195.298486575401,1.72036480903625,6.64836171569593e-20,FALSE,NA
3,"schur",0,13,34,10221.6353467545,189.714644792117,0.695164918899536,2.63043961102136e-20,FALSE,NA
3,"schur",1,13,34,10608.4945161494,204.323854317207,1.71826410293579,2.46723757188737e-20,FALSE,NA
4,"carpenter",0,12,102,8612.55183836288,147.7585753219,1.10247087478638,5.13979601361266e-20,FALSE,NA
4,"carpenter",1,12,61,9576.21601614868,175.868505925487,1.72146487236023,3.05236797892493e-20,FALSE,NA
4,"pinkney",0,12,89,8918.35457713199,163.085939053342,0.787144899368286,2.18365098827539e-20,FALSE,NA
4,"pinkney",1,12,102,8422.8908270173,157.608076550602,1.72572898864746,4.82842666092536e-20,FALSE,NA
4,"ldl2",0,12,87,9423.26508671246,165.593524175174,0.999021053314209,2.33091502965983e-19,FALSE,NA
4,"ldl2",1,12,64,8750.86443880215,160.16663809214,2.04635906219482,2.36815591008889e-19,FALSE,NA
4,"ldl3",0,12,97,9011.77662019925,148.205384669264,1.09505009651184,1.41431209136648e-19,FALSE,NA
4,"ldl3",1,12,65,8796.51103914994,161.211601560523,2.02117609977722,6.0059718950871e-20,FALSE,NA
4,"rowscale",0,12,77,8897.6431016337,157.497134237861,0.999269008636475,1.50706219382405e-20,FALSE,NA
4,"rowscale",1,12,72,9287.97173193616,171.494520429405,1.8142249584198,2.37846856449993e-20,FALSE,NA
4,"schur",0,12,82,8317.57129511382,150.628792537239,1.10219192504883,6.15877665049991e-20,FALSE,NA
4,"schur",1,12,82,9152.12998008191,169.280125406121,1.92991304397583,6.87028433264977e-20,FALSE,NA
5,"carpenter",0,11,119,10891.6079854777,199.253740907352,0.998734951019287,9.56046095981289e-20,FALSE,NA
5,"carpenter",1,11,39,10087.7038452407,182.180593896567,1.82977104187012,4.89529987920022e-20,FALSE,NA
5,"pinkney",0,11,143,10451.4768918772,192.34902995946,1.10816216468811,1.47524341339743e-19,FALSE,NA
5,"pinkney",1,11,118,9915.77405368711,183.98319053135,1.73176980018616,1.21799102751125e-19,FALSE,NA
5,"ldl2",0,11,147,9495.43066890678,175.746926075011,1.29925298690796,1.83132390350695e-19,FALSE,NA
5,"ldl2",1,11,94,9881.51609039642,182.204858488308,2.01925015449524,2.09037568494515e-19,FALSE,NA
5,"ldl3",0,11,79,10039.8512582195,181.782568499357,0.99173092842102,2.23838620623903e-19,FALSE,NA
5,"ldl3",1,11,63,9835.49398098497,178.99965386618,2.0298171043396,2.96279420054795e-19,FALSE,NA
5,"rowscale",0,11,112,9566.80026122061,174.787157182384,1.29902005195618,7.93229425128685e-20,FALSE,NA
5,"rowscale",1,11,59,10296.5005281631,188.618595837313,1.92268204689026,8.0286431355299e-20,FALSE,NA
5,"schur",0,11,NA,NA,NA,NA,NA,TRUE,"one or more chains failed"
5,"schur",1,11,95,9588.25451512922,177.7973319079,2.28045201301575,1.06210308779869e-19,FALSE,NA
