"K","eta","model","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","failed"
7,1,"ldl2",7,6771,691.570119453799,3.56077479265056,26.4730157852173,FALSE
7,1,"ldl3",7,6771,691.570119453799,3.56077479265056,22.3974440097809,FALSE
7,1,"cvine",7,6861,733.637467556081,5.63387422385428,27.383505821228,FALSE
7,1,"schur",7,NA,NA,NA,NA,TRUE
7,1,"qr2",7,0,4531.9401759894,81.1535738125744,0.423507928848267,FALSE
7,1,"tri",7,0,7402.94405466692,132.821588464671,0.395551919937134,FALSE
7,2,"carpenter",7,1489,3320.9811174277,34.0463294898425,6.74151301383972,FALSE
7,2,"pinkney",7,1488,3500.32840133983,34.5817326918842,5.2502601146698,FALSE
7,2,"ldl2",7,1288,5391.54917311973,47.3137975579382,6.01513695716858,FALSE
7,2,"ldl3",7,1634,4856.18321351069,51.1543337706009,5.7552649974823,FALSE
7,2,"cvine",7,1594,4622.34744440008,47.566759739031,6.50579595565796,FALSE
7,2,"schur",7,NA,NA,NA,NA,TRUE
7,2,"qr2",7,0,4176.07922939999,75.0661351272648,0.376080989837646,FALSE
7,2,"tri",7,0,8756.58416074256,157.096953009375,0.370152950286865,FALSE
7,3,"carpenter",7,659,6793.59179785078,126.583163424897,3.06544494628906,FALSE
7,3,"pinkney",7,439,6283.15619640582,80.0606039297377,2.42239999771118,FALSE
7,3,"ldl2",7,506,7067.7744153517,113.902667408288,2.63604402542114,FALSE
7,3,"ldl3",7,505,6823.83512859777,121.511363093375,2.20393896102905,FALSE
7,3,"cvine",7,461,6598.75303162186,92.495942468172,2.60321116447449,FALSE
7,3,"schur",7,NA,NA,NA,NA,TRUE
7,3,"qr2",7,0,3998.85487100349,72.2493111043486,0.378378868103027,FALSE
7,3,"tri",7,0,9573.96403080931,172.703009430863,0.38467288017273,FALSE
7,4,"carpenter",7,184,8181.15701323373,147.644998524368,1.32784581184387,FALSE
7,4,"pinkney",7,165,8578.12146822672,143.689533630827,1.11114096641541,FALSE
7,4,"ldl2",7,142,8110.77454542673,146.19012897076,1.2249538898468,FALSE
